"zOTUID","Domain","Phylum","Class","Order","Family","Genus","Species"
"371d95757e3684ab4616398597f4fb70","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"10aaac427565bc1c24903090b6a21d18","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","uncultured","Unclassified"
"df2df2cafcdea480cec893665117ef6b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Unclassified","Unclassified"
"c2c69b457fa1c241b1b021de436fad5a","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"3eec8cdd85e02181869dbc2558669a71","Bacteria","Fibrobacterota","Chitinivibrionia","uncultured","uncultured","uncultured","uncultured_bacterium"
"8b327b713d739f4ce787e9d74998f97c","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_Firmicutes"
"71986d430f13ea4d65866c249c8e1e06","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"36427853e4a6fe1cf70109ba81d68b35","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_Banisveld"
"ae1406787cea9640ba24a50dbdbe036a","Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Parcubacteria_group"
"e2bfc1560a58360d843c7440ec0ebd4f","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Unclassified"
"2cdaff6a3fdc76aee04d94ad8cb21c39","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"783822155dc7ef24fdf94da094341988","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides","uncultured_bacterium"
"760173a48f6e7c71ba1848f198ff42ea","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified","Unclassified"
