"","sample1","sample2","V.select","H.select","Disp.limit","Disp.homo","Undomin"
"1","FW303.11.2.20.13.02","GW654.0.1.7.13.02",0.0886111111111111,0.146157407407407,0.467592592592593,0.0551388888888889,0.2425
"2","GW800.12.12.12.02","GW654.0.1.7.13.02",0.10962962962963,0.125231481481481,0.504212962962963,0.0701851851851852,0.190740740740741
"3","GW683.53.2.18.13.02","GW654.0.1.7.13.02",0.0191666666666667,0.171435185185185,0.521759259259259,0.01125,0.276388888888889
"4","GW533.48.11.28.12.02","GW654.0.1.7.13.02",0.0908333333333333,0.0496296296296296,0.536527777777778,0.00865740740740741,0.314351851851852
"5","GW750.28.12.12.12.02","GW654.0.1.7.13.02",0.0634722222222222,0.151064814814815,0.384814814814815,0.00449074074074074,0.396157407407407
"6","GW220.50.12.12.12.02","GW654.0.1.7.13.02",0.110277777777778,0.164305555555556,0.425138888888889,0.00291666666666667,0.297361111111111
"7","GW151.12.12.12.02","GW654.0.1.7.13.02",0.0593518518518519,0.201435185185185,0.325601851851852,0.00444444444444444,0.409166666666667
"8","GW084.56.11.28.12.02","GW654.0.1.7.13.02",0.164259259259259,0.0384722222222222,0.464583333333333,0.00407407407407407,0.328611111111111
"9","GW921.86.1.28.13.02","GW654.0.1.7.13.02",0.127407407407407,0.135648148148148,0.396574074074074,0.0421759259259259,0.298194444444444
"10","GW066.71.2.20.13.02","GW654.0.1.7.13.02",0.129212962962963,0.0609722222222222,0.485925925925926,0.0179166666666667,0.305972222222222
"11","GW773.35.2.4.13.02","GW654.0.1.7.13.02",0.0833796296296296,0.0714351851851852,0.463425925925926,0.00662037037037037,0.375138888888889
"12","GW714.34.2.12.13.02","GW654.0.1.7.13.02",0.205462962962963,0.160509259259259,0.352222222222222,0.0414814814814815,0.240324074074074
"13","GW271.66.2.18.13.02","GW654.0.1.7.13.02",0.177268518518519,0.120925925925926,0.346805555555556,0.00518518518518519,0.349814814814815
"14","GW715.65.2.12.13.02","GW654.0.1.7.13.02",0.0369907407407407,0.09375,0.505138888888889,0.0456018518518519,0.318518518518519
"15","GW782.72.2.18.13.02","GW654.0.1.7.13.02",0.131018518518519,0.151157407407407,0.395092592592593,0.01,0.312731481481481
"16","GW621.21.12.17.12.02","GW654.0.1.7.13.02",0.067037037037037,0.0777314814814815,0.527777777777778,0.0899537037037037,0.2375
"17","GW775.88.1.29.13.02","GW654.0.1.7.13.02",0.210740740740741,0.0462037037037037,0.491157407407407,0.00157407407407407,0.250324074074074
"18","GW314.97.2.19.13.02","GW654.0.1.7.13.02",0.277916666666667,0.0973148148148148,0.336805555555556,0.0181944444444444,0.269768518518519
"19","GW198.41.2.11.13.02","GW654.0.1.7.13.02",0.0590277777777778,0.21712962962963,0.406898148148148,0.070462962962963,0.246481481481481
"20","GW763.23.1.22.13.02","GW654.0.1.7.13.02",0.391990740740741,0.0840277777777778,0.243888888888889,0.00125,0.278842592592593
"21","GW056.87.1.8.13.02","GW654.0.1.7.13.02",0.0237962962962963,0.151527777777778,0.457175925925926,0.0402777777777778,0.327222222222222
"22","GW761.29.1.28.13.02","GW654.0.1.7.13.02",0.0321759259259259,0.255694444444444,0.453287037037037,0.0141203703703704,0.244722222222222
"23","GW089.62.1.7.13.02","GW654.0.1.7.13.02",0.0365740740740741,0.0903240740740741,0.591712962962963,0.0164351851851852,0.264953703703704
"24","GW685.6.1.8.13.02","GW654.0.1.7.13.02",0.0448611111111111,0.109259259259259,0.584074074074074,0.00666666666666667,0.255138888888889
"25","GW765.77.1.11.13.02","GW654.0.1.7.13.02",0.213935185185185,0.189953703703704,0.284768518518519,0.000509259259259259,0.310833333333333
"26","GW737.12.12.12.02","GW654.0.1.7.13.02",0.0972685185185185,0.0817592592592593,0.438287037037037,0.0037962962962963,0.378888888888889
"27","GW057.10.1.8.13.02","GW654.0.1.7.13.02",0.0603240740740741,0.110925925925926,0.470740740740741,0.133009259259259,0.225
"28","GW223.39.1.8.13.02","GW654.0.1.7.13.02",0.0527777777777778,0.0997685185185185,0.444212962962963,0.0616203703703704,0.34162037037037
"29","GW60.1A.60.2.4.13.02","GW654.0.1.7.13.02",0.118055555555556,0.0974074074074074,0.491157407407407,0.0201388888888889,0.273240740740741
"30","GW283.43.1.29.13.02","GW654.0.1.7.13.02",0.0798148148148148,0.0711574074074074,0.510462962962963,0.0189351851851852,0.31962962962963
"31","GW098.57.1.22.13.02","GW654.0.1.7.13.02",0.130648148148148,0.0569444444444444,0.446435185185185,0.014212962962963,0.351759259259259
"32","GW148.12.17.12.02","GW654.0.1.7.13.02",0.0923611111111111,0.293935185185185,0.221574074074074,0.00777777777777778,0.384351851851852
