"OTUID","Domain","Phylum","Class","Order","Family","Genus","Species"
"New.ReferenceOTU74436","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_Acidobacterium"
"New.ReferenceOTU258874","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"817521","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"New.ReferenceOTU27893","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","Unclassified"
"4343930","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_Holophaga"
"New.ReferenceOTU5695","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","Unclassified"
"New.ReferenceOTU142100","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"New.ReferenceOTU116721","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","Unclassified"
"New.ReferenceOTU54560","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","Unclassified"
"4383086","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"New.ReferenceOTU126069","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","Unclassified"
"156453","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"578427","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_Acidobacteria"
"780436","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_Holophaga"
"61819","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"4383087","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"246440","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"New.ReferenceOTU87662","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"1758194","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_Holophaga"
"4368273","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured_bacterium"
"New.ReferenceOTU40635","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","Unclassified"
"New.ReferenceOTU41407","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"New.ReferenceOTU263503","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU78463","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"4457287","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU153442","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospirae"
"1106889","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU202839","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"682134","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"4369470","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"142598","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"3032113","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU161095","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"4310474","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU120905","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU31888","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU169775","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU156880","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"New.ReferenceOTU15309","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU190722","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU127396","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU142078","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2","Subgroup_2","Unclassified"
"New.ReferenceOTU3029","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU258076","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU249792","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU213935","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU51885","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU117593","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU143958","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU34252","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"New.ReferenceOTU126683","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU118098","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU17245","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU224931","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"New.ReferenceOTU185286","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"New.ReferenceOTU1319","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"New.ReferenceOTU47310","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"New.ReferenceOTU216867","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU122404","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospirae"
"New.ReferenceOTU86088","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU133695","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU171126","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"New.ReferenceOTU85369","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU224764","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"New.ReferenceOTU100236","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"New.ReferenceOTU123954","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium"
"New.ReferenceOTU200303","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU36226","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
"New.ReferenceOTU123330","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU230194","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU156082","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU113999","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU205607","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU31570","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"New.ReferenceOTU180643","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospiraceae"
