"SampleID","GW654.0.1.7.13.02","FW303.11.2.20.13.02","GW800.12.12.12.02","GW683.53.2.18.13.02","GW533.48.11.28.12.02","GW750.28.12.12.12.02","GW220.50.12.12.12.02","GW151.12.12.12.02","GW084.56.11.28.12.02","GW921.86.1.28.13.02","GW066.71.2.20.13.02","GW773.35.2.4.13.02","GW714.34.2.12.13.02","GW271.66.2.18.13.02","GW715.65.2.12.13.02","GW782.72.2.18.13.02","GW621.21.12.17.12.02","GW775.88.1.29.13.02","GW314.97.2.19.13.02","GW198.41.2.11.13.02","GW763.23.1.22.13.02","GW056.87.1.8.13.02","GW761.29.1.28.13.02","GW089.62.1.7.13.02","GW685.6.1.8.13.02","GW765.77.1.11.13.02","GW737.12.12.12.02","GW057.10.1.8.13.02","GW223.39.1.8.13.02","GW60.1A.60.2.4.13.02","GW283.43.1.29.13.02","GW098.57.1.22.13.02","GW148.12.17.12.02","GW694.33.12.3.12.02","GW162.37.2.19.13.02","GW086.25.12.3.12.02","GW736.14.12.3.12.02","GW531.83.11.28.12.02","FW301.81.2.20.13.02","GW803.31.1.23.13.02","GW384.12.17.12.02","GW199.42.1.28.13.02","GW704.5.12.17.12.02","GW764.23.1.11.13.02","GW085.58.12.3.12.02","GW641.30.1.23.13.02","GW929.2.11.13.02","GW706.96.12.17.12.02","GW636.32.1.28.13.02","GW115.2.11.26.12.02","GW107.91.12.11.12.02","GW350.74.2.12.13.02","GW190.22.12.11.12.02","GW127.16.11.26.12.02","FW511.61.11.26.12.02","GW804.13.2.11.13.02","GW363.94.1.22.13.02","GW345.51.11.27.12.02","GW658.63.1.23.13.02","GW385.80.2.18.13.02","GW705.9.2.21.13.02","GW639.90.1.23.13.02","DP16D.67.11.27.12.02","GW228.12.2.4.13.02","GW755.69.1.8.13.02","GW122.78.11.14.12.02","FW233.17.2.99.11.28.12.02","GW779.8.2.18.13.02","GW631.98.12.11.12.02","FW215.84.11.27..12.02","TPB16.81.11.28.12.02","GW105.12.11.12.02","GW925.68.1.28.13.02","FW602.2.26.2.11.28.12.02","FW510.26.11.26.12.02","GW123.93.11.14.12.02","GW125.85.2.20.13.02","GW537.24.11.26.12.02","FW109.40.92.11.14.12.02","GW101.11.13.12.02","FW603.55.12.3.12.02","FW410.28.46.11.13.12.02","FW021.46.11.27.12.02","GW346.47.11.27.12.02","PTMW02.4.12.11.12.02","FW106.11.13.12.02","GW526.15.11.27.12.02","GW754.40.1.7.13.02","FW104.67.11.14.12.02","GW246.1.11.26.12.02","GW247.7.11.14.12.02"
"GW654.0.1.7.13.02",0,3875.64059577015,1994.26708683866,699.331085814459,2285.30211561971,7004.33883728112,6819.28203558442,6821.21443542756,2091.45546305405,1595.61314813031,2087.16345934554,5940.94506856407,1789.35111899231,3452.35007581304,1783.89921828661,4941.33471972283,1060.00388660214,5916.41260555022,3133.19116142269,6265.79997469703,6510.09749405277,583.408062008217,5576.95866367978,470.867988832591,590.241210720667,5053.52180955013,2158.4840855532,586.296605965433,6541.71376723398,5589.64449099047,6127.92776161204,1575.49341156519,6690.08578614108,1047.80535291164,819.780551295048,2181.63836255222,2171.49254600296,2262.88216754872,3873.54184149245,6197.28811152078,6602.38497290929,6265.64884065487,1058.87721726204,5047.48466596006,2185.68191928198,1052.38879277018,4383.07969579826,1046.34917605404,1411.05463142719,3288.64147687346,3446.50275616121,3570.15073393684,3458.99396981971,3031.05445356525,3258.65547475537,6164.87744258202,1523.6043299042,2684.26487968373,6174.50761237835,6601.37985499967,1039.17391825482,1059.73202557004,2883.11806067883,1841.70400530237,6510.62530819102,3027.09935416653,2892.86412181372,5285.54474246353,3426.55091769375,2891.40002149756,2890.16277059319,3330.10239837687,1592.36419206525,2470.15395521903,3260.0990908698,3023.28490297745,3151.28677489304,2330.7476085613,3074.37678333792,3029.89236179966,2467.46971450433,3031.33114721138,3214.78987573774,2685.35614412452,2758.15138257532,3077.08879891629,2686.86573632012,6492.41791233079,3074.74652501384,3110.58676440343,3135.59954513096
"FW303.11.2.20.13.02",3875.64059577015,0,5804.46625917084,3778.65561355306,6155.90675548912,10854.6927450808,10668.8094918467,10670.8910083474,5961.91191924561,5464.19064975576,5928.31925479839,9802.85343227308,2226.9750565186,7321.55938549161,2232.24480157648,8799.99388821877,4821.00339342458,9769.22843255441,6979.53127917666,10134.0794194231,10361.6258144748,3715.17838089638,9441.9380038627,4340.34672131676,3736.10306972842,8926.93186323451,5993.68481698894,3714.47063542223,10390.3639090729,9440.88370953429,9985.74568665296,5404.91665620865,10543.292451672,4780.82430895854,4678.91635133852,6041.28311876604,6007.61270595836,6133.142712571,11.80443318806,10055.025270778,10455.6397856036,10132.2740460125,4793.51969262216,8920.90613423196,6045.60280578128,4884.11792171346,8258.65320446889,4794.74409133163,5238.33094723101,7163.71678708463,7310.01656678932,7427.34970324241,7331.99059172256,6889.02578611722,7125.17955088146,10022.5672791083,5379.18822038218,6545.90708593446,10033.3471871766,10454.5175859515,4786.36014479691,4886.82153517393,6738.97284864399,5659.85646518082,10376.4253457276,6882.26225245934,6750.87134243031,9151.62713107083,7292.23808545978,6749.18577852222,6747.23023458418,7199.13352097955,5460.91550427114,6331.93896440829,7127.16668673496,6878.45383178389,7004.33896489213,6192.4951019394,6939.34215410286,6896.19362932095,6326.68878263949,6896.10221060245,7077.02891348025,6547.02158508893,6621.07093100583,6941.31067953591,6548.60181829931,10351.6441266111,6939.58523225205,6972.00532485559,6997.31958419932
"GW800.12.12.12.02",1994.26708683866,5804.46625917084,0,2055.50114240729,573.499940563406,5051.66139765783,4865.61347598936,4867.74200651313,475.350571683977,539.213348699583,205.864204824304,4010.54592317466,3608.03964830575,1579.30053469908,3602.51037507373,3007.03662917907,983.702189452252,3968.37325897584,1185.50257979195,4352.73355597835,4559.42088799579,2097.97521687057,3656.17341551489,1593.50169463102,2078.47662338458,3176.87798364374,224.76979670227,2098.99962421728,4587.06035141812,3639.61409389393,4188.27738105064,421.717376215523,4741.73186390658,1027.02246831147,1356.23111092262,390.196909421527,239.201950033741,554.620856449013,5801.13436646409,4257.34604105828,4654.19292495378,4347.03122718481,1014.3253303396,3171.01477090315,394.981437361315,942.007303766357,2571.92999015013,1010.8870436554,583.426493795411,1491.63834337723,1544.04042854809,1643.28746056804,1617.3885193661,1119.08424539404,1376.85543587683,4224.90803600402,517.919975564949,809.014729645697,4236.77117461182,4653.00950331274,1019.30734196358,935.341432983018,968.859907323157,154.23866476473,4588.68740195893,1105.34774875104,986.577968612024,3369.81120967473,1534.51923776801,984.279190817785,980.235518090411,1460.68321768233,541.029799617294,621.212471142886,1381.3405862091,1101.6676067922,1219.95636641507,509.203087517486,1192.1189133884,1157.69447504627,602.161640536384,1150.17033931868,1313.67432421104,810.142313409842,884.055788251148,1190.75056334372,811.922830935988,4554.81812738318,1191.78332002658,1209.60640266203,1234.99901252809
"GW683.53.2.18.13.02",699.331085814459,3778.65561355306,2055.50114240729,0,2484.94971460963,7099.20671407269,6913.00036916126,6915.21401052617,2297.09521920776,1815.58346955629,2203.5533171864,6065.18082098502,1560.17628570991,3620.30330128179,1554.71189049674,5062.01872857162,1084.5918558839,6019.36515235683,3240.97513477042,6408.23444606131,6608.54553788528,139.88881800113,5711.63433049394,983.684892157726,121.769286927026,5226.93531233449,2260.58242690926,137.69373686866,6634.46183573789,5690.53536143459,6241.20334027444,1685.95999311494,6791.45492712342,1032.58585012193,1288.46375934433,2342.12976815344,2275.11276924984,2461.46395272454,3774.49714603624,6310.12912771534,6704.0964993652,6402.42190957809,1045.11528995597,5221.01972204096,2346.90112068291,1205.6506710557,4597.96367191012,1053.23741021193,1525.8081390828,3497.98385051228,3593.75397905238,3697.9967299206,3646.62041895747,3168.00401649372,3418.80248176968,6277.72158231275,1700.12087685228,2838.17493160502,6290.04796234573,6702.85154344521,1044.8741456619,1201.91312282936,3016.82666402783,1920.59266185219,6643.8228381157,3156.7356042126,3032.17191373795,5425.26257063532,3581.28669596097,3030.12503358095,3026.96143405323,3499.08532020481,1812.40620622125,2629.38466135427,3422.25452281942,3152.9940242061,3273.946621591,2493.50827962719,3231.90314940708,3192.94972477572,2618.88293171684,3188.91493676741,3361.26143638516,2839.31605001312,2914.61784629738,3232.04371163808,2841.01535225999,6607.80479521645,3231.83041928409,3256.13860573157,3281.67528826224
"GW533.48.11.28.12.02",2285.30211561971,6155.90675548912,573.499940563406,2484.94971460963,0,4724.87506333419,4540.51685464637,4542.35901802416,194.01215293271,691.774135032029,367.652833642035,3656.75876867447,4002.19321016279,1167.04813712872,3996.62490817646,2659.66565983301,1404.10165289443,3636.93139740916,889.294720849756,3980.54823819247,4230.55431669672,2503.87361674164,3291.97704288968,1833.53871945904,2487.01004795884,2771.32724594336,372.804285076903,2505.35772345639,4263.88200562091,3311.84581945062,3845.37390993288,808.116921508285,4409.39005182732,1462.13314096904,1523.31837357997,183.315955641539,362.769136523623,23.4901780857358,6153.4419656826,3914.71764619832,4321.75417549622,3980.36372700051,1450.19717148566,2765.30991611509,178.568669550433,1288.84203738557,2117.78152319064,1437.3743005434,960.939342199592,1016.07223132938,1164.5843881947,1295.19298659765,1176.70231320557,762.537784934489,974.563218069602,3882.35584377826,787.843683430303,417.142958610823,3891.44025868779,4320.81422199549,1445.51540656094,1289.65620123955,624.999556449927,632.435662581461,4225.39319922116,765.295026271874,628.276714485163,3000.39714092526,1142.75005457938,627.468230557338,628.267592494562,1044.81800738823,695.051745832835,222.134078345114,975.622955334609,761.589834415876,890.633060167657,133.710748185216,792.532592323808,746.659178082644,237.108257034697,750.019697282429,935.730813782275,418.10295647991,484.444293631982,796.234757185676,419.301350941177,4208.99104303934,793.065359146517,833.844707208469,858.070350221628
"GW750.28.12.12.12.02",7004.33883728112,10854.6927450808,5051.66139765783,7099.20671407269,4724.87506333419,0,186.22023008176,183.993229641871,4917.3957004047,5409.6923927725,4927.45437782012,1086.01357749179,8657.30157420313,3563.60352638629,8651.79279405206,2065.52506163141,6035.29933046744,1088.07065324864,3876.04241426699,851.523326096744,494.342493075095,7148.43992690537,1455.83410914291,6558.08806740048,7128.54505972322,2034.84504817767,4861.20309312034,7149.38592722811,464.753204982499,1414.87888840274,886.010321212587,5450.20454851167,318.052460055526,6077.96506749058,6244.94106548776,4822.82953128293,4847.3401743509,4746.62251267394,10851.5278604105,817.570462070536,404.744274008264,825.478832135198,6065.25653053777,2040.71051513861,4818.7492310165,5972.83284362199,2750.44026363744,6062.49714426943,5616.90937594159,3757.98352638784,3560.32428764908,3434.19626050891,3572.05998511898,3973.29272286787,3750.7781414225,849.240917310714,5483.09235901926,4320.27090791061,844.211250571663,405.464865219913,6070.91275402532,5969.44746240739,4121.59411383565,5195.03581002873,607.374897304643,3977.68060473144,4111.50558214643,1745.43873788195,3582.5697685657,4112.98811114911,4114.31150982229,3684.34982501354,5412.92072462467,4534.27434770005,3750.13592905656,3981.49628045028,3854.07065801797,4673.62211165336,3932.55957856742,3978.21665650745,4536.9211574988,3975.30722335081,3790.60823814073,4319.18504198146,4246.82422122881,3929.25033885499,4317.69096076801,541.293232357064,3932.08083563242,3894.300162787,3869.43420438381
"GW220.50.12.12.12.02",6819.28203558442,10668.8094918467,4865.61347598936,6913.00036916126,4540.51685464637,186.22023008176,0,3.47488926585878,4732.90362882307,5224.84435783891,4741.78004769298,909.672587369234,8471.12877740838,3380.11539714948,8465.62039816268,1881.65828285421,5849.26725352448,903.610676247723,3690.39794921977,705.738953327799,310.627277062569,6962.30822201911,1278.30428077972,6373.54801873066,6942.40337590338,1861.29399397681,4675.40838612967,6963.25201265282,278.582400731857,1229.64398853944,706.971732463382,5264.43644905138,146.314044888457,5891.8644356419,6061.08236008895,4637.70177071904,4661.55907811117,4562.21406216249,10665.6328774706,639.484812109884,227.007225804955,673.311392470132,5879.15578012919,1867.10326942785,4633.63438483382,5787.198394335,2576.40990512496,5876.43353325862,5431.1521029579,3576.18225329397,3375.9331349354,3249.20730420453,3389.60509171834,3788.23178014912,3566.63876032942,670.558289498481,5297.77214036013,4135.36413670253,667.47716033788,227.272659103377,5884.84844737074,5783.76854841815,3936.38171105927,5009.09007825991,481.14299568135,3792.44714617244,3926.41862484464,1566.3209218221,3398.45228659113,3927.88741868597,3929.16809928724,3500.67783766302,5228.07017100848,4349.31615571891,3566.07421786836,3796.26272258631,3668.73127828275,4488.6265219623,3748.10233363203,3793.87950855357,4351.8218448839,3790.80475183139,3605.9491144161,4134.28014648418,4062.03275000845,3744.71729615659,4132.79124615469,379.872299781364,3747.61033682243,3709.52205429413,3684.6923300446
"GW151.12.12.12.02",6821.21443542756,10670.8910083474,4867.74200651313,6915.21401052617,4542.35901802416,183.993229641871,3.47488926585878,0,4734.76165176251,5226.74722187576,4743.81334610869,910.85103033825,8473.31423490498,3381.8634595084,8467.80559555805,1883.43534516038,5851.3906262519,905.436973186151,3692.42432916625,705.584139929411,312.293779275077,6964.47093233483,1279.58062641627,6375.41347344516,6944.57101369871,1862.37054345805,4677.46732962829,6965.41579011634,280.761763418038,1231.58760850084,708.300206523251,5266.48977747802,146.72228965791,5894.01318696881,6062.87259763811,4639.64262453218,4663.61494893944,4564.06204324342,10667.7173581279,640.737304741589,228.041289390548,673.364621259593,5881.30457881772,1868.18286516525,4635.57335488765,5789.22441586208,2577.52601922549,5878.56790226882,5433.20314653067,3577.78506710358,3377.77656654825,3251.12606578121,3391.26012394451,3790.16180265668,3568.45436644112,671.856667827203,5299.74290828071,4137.27340575561,668.646916729647,228.343824670127,5886.98307193369,5785.80336787655,3938.33425722278,5011.18696120323,480.269901979169,3794.40268895641,3928.35260655365,1567.70908767956,3400.26500388447,3929.82338588905,3931.11030911326,3502.44442124201,5229.97336866009,4351.2327131287,3567.88139378806,3798.21828664587,3670.70333120869,4490.54841318636,3749.95445647951,3795.71780599994,4353.75822316494,3792.66232863292,3607.82535364777,4136.18916184085,4063.9266992615,3746.57842783569,4134.69956401312,380.128435153479,3749.46402226345,3711.41360771772,3686.579179714
"GW084.56.11.28.12.02",2091.45546305405,5961.91191924561,475.350571683977,2297.09521920776,194.01215293271,4917.3957004047,4732.90362882307,4734.76165176251,0,497.848618896448,288.66126139166,3850.19114629773,3809.83172079326,1360.92593056289,3804.26320954778,2852.45381613394,1219.50936572592,3829.37460903338,1070.66382414046,4174.47044235468,4423.05737478886,2313.52872512226,3485.64488621817,1640.70716376026,2296.92932079429,2965.25266828843,334.397530580942,2315.05144405835,4456.08497038664,3503.93741001586,4038.43646042664,630.821574212937,4602.11504812913,1279.21989103664,1333.80782410697,163.861448209861,331.540682138934,171.43138510199,5959.45242253118,4107.78670877512,4514.46227236907,4174.19392445777,1267.50578948914,2959.23389258264,163.765299891893,1097.67278257151,2309.76133224129,1253.36479805302,777.052071488145,1208.23253412513,1357.1228555203,1485.91254351019,1370.51831914345,950.417463171407,1167.78234097748,4075.41324430239,597.544476693035,602.539403674211,4084.6149317993,4513.51016031694,1261.39730581088,1099.0197438494,808.760936896244,492.159058856253,4419.18059082603,951.107695887581,814.252622561864,3194.13422757558,1335.8948459779,813.215732416996,813.328129128031,1238.65291697299,501.127601305693,394.215248514652,1168.99914343164,947.350668212854,1076.66755160768,264.295359200055,984.84063563167,939.463747022906,400.151181538068,942.099376515268,1127.23812916188,603.563577789538,673.012123367871,988.194900474706,604.904087511227,4402.25520089995,985.315150122973,1024.49142703435,1049.00373594021
"GW921.86.1.28.13.02",1595.61314813031,5464.19064975576,539.213348699583,1815.58346955629,691.774135032029,5409.6923927725,5224.84435783891,5226.74722187576,497.848618896448,0,533.586213802022,4345.34599360253,3314.76242708177,1857.88941890663,3309.19431348285,3345.92842933707,758.610726423441,4321.64587021376,1546.01700003502,4671.38061672274,4915.37978289675,1824.53277773197,3981.60507147923,1151.06292790579,1808.73150783092,3463.09276543965,612.257687888025,1826.16599975968,4947.55684831658,3995.34024959945,4532.43897937093,279.146501001321,5095.04777699688,823.950432170335,863.470025051904,590.667728959839,622.221603430413,668.961132144777,5461.70939452632,4601.79909333664,5007.35843946377,4670.70636214712,813.441717219888,3457.07462123553,594.368150068517,610.054349808191,2805.41968071768,794.14192221614,344.881104875166,1704.60562025581,1850.90784686661,1975.7581916044,1868.35937311178,1437.20395501517,1663.20873208246,4569.3953562238,143.748520168027,1089.52527948124,4578.94714917906,5006.37125442463,801.538924565406,613.750508620074,1290.79366466381,410.640962019704,4915.51442381575,1434.6681181912,1299.3215922909,3690.35926819038,1831.01477058475,1297.97379229322,1297.12025562163,1735.51648666294,3.28126903042875,875.810201382514,1664.76659033655,1430.86284411997,1559.61975970392,736.893347430858,1478.7637057391,1434.36174898742,874.748195724426,1435.72063300071,1619.39382167592,1090.60559502162,1162.90177415625,1481.49697990215,1092.08527923984,4896.82626583953,1479.13371329788,1515.42461128192,1540.34911183155
