Index,Type,Unit,Description
Nd_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Sm_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Eu_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Gd_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Dy_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Ho_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Er_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Tm_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Yb_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Lu_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Hf_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Ta_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
W_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Re_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Pt_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Tl_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Pb208_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
Th_Sup,NUMBER,然,"Metal concentration in the supernatant of each sample, analyzed by ICPMS."
U_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Ti_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
V_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Cr52_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Cr53_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Mn_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Fe_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Co_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Ni_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Cu_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Zn66_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Zn68_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Ga_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Ge_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
As_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Rb_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Sr_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Mo95_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Mo98_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Ru_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Rh_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Pd_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Cd106_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Cd111_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Sn120_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Sb_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Te_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Cs_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Ba_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
La_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Ce_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Pr_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Nd_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Sm_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Eu_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Gd_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Dy_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Ho_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Er_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Tm_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Yb_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Lu_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Hf_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Ta_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
W_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Re_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Pt_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Tl_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Pb208_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
Th_SS,NUMBER,然,"Suspended metal concentration in each sample, analyzed by ICPMS."
U_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Ti_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
V_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Cr52_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Cr53_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Mn_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Fe_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Co_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Ni_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Cu_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Zn66_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Zn68_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Ga_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Ge_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
As_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Rb_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Sr_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
