"","sample1","sample2","V.select","H.select","Disp.limit","Disp.homo","Undomin"
"1","X10P16NHN1","X10P10NHN1",0.0017,0.282483333333333,0.00996666666666667,0.0051,0.70075
"2","X10P19NNN1","X10P10NHN1",0.00285,0.337216666666667,0.0192833333333333,0.0139833333333333,0.626666666666667
"3","X10P1NHN1","X10P10NHN1",0.00106666666666667,0.312483333333333,0.0663,0.00258333333333333,0.617566666666667
"4","X10P20NHN1","X10P10NHN1",0.0132666666666667,0.313833333333333,0.01375,0.00366666666666667,0.655483333333333
"5","X10P23NNN1","X10P10NHN1",0.00381666666666667,0.358333333333333,0.0469666666666667,0.00566666666666667,0.585216666666667
"6","X10P3NNN1","X10P10NHN1",0.00283333333333333,0.338433333333333,0.0595833333333333,0.00443333333333333,0.594716666666667
"7","X10P6NNN1","X10P10NHN1",0.00346666666666667,0.35785,0.00895,0.0052,0.624533333333333
"8","X11P10NHN1","X10P10NHN1",0.0053,0.283516666666667,0.0198166666666667,0.00263333333333333,0.688733333333333
"9","X11P16NHN1","X10P10NHN1",0.00315,0.308083333333333,0.0483833333333333,0.0238,0.616583333333333
"10","X11P19NNN1","X10P10NHN1",0.00173333333333333,0.335916666666667,0.0235166666666667,8e-04,0.638033333333333
"11","X11P1NHN1","X10P10NHN1",0.00133333333333333,0.324333333333333,0.0266833333333333,0.00035,0.6473
"12","X11P20NHN1","X10P10NHN1",0.0156333333333333,0.347966666666667,0.05855,0.00106666666666667,0.576783333333333
"13","X11P23NNN1","X10P10NHN1",0.00263333333333333,0.3012,0.01525,0.00161666666666667,0.6793
"14","X11P3NNN1","X10P10NHN1",0.00126666666666667,0.349383333333333,0.00301666666666667,0.001,0.645333333333333
"15","X11P6NNN1","X10P10NHN1",0.0173666666666667,0.323616666666667,0.03375,0.00668333333333333,0.618583333333333
"16","X12P10NHN1","X10P10NHN1",0.00383333333333333,0.3236,0.04865,0.0015,0.622416666666667
"17","X12P16NHN1","X10P10NHN1",0.0047,0.389766666666667,0.0578,0.00035,0.547383333333333
"18","X12P19NNN1","X10P10NHN1",0.0013,0.4161,0.0265833333333333,0.0176833333333333,0.538333333333333
"19","X12P1NHN1","X10P10NHN1",0.00341666666666667,0.457733333333333,0.0374,0.0069,0.49455
"20","X12P20NHN1","X10P10NHN1",0.00191666666666667,0.380183333333333,0.0500666666666667,0.000633333333333333,0.5672
"21","X12P23NNN1","X10P10NHN1",0.000933333333333333,0.3192,0.0421333333333333,0.0468333333333333,0.5909
"22","X12P3NNN1","X10P10NHN1",0.00141666666666667,0.376,0.00465,0.001,0.616933333333333
"23","X12P6NNN1","X10P10NHN1",0.00921666666666667,0.342266666666667,0.0617,0.000466666666666667,0.58635
"24","X13P10NHN1","X10P10NHN1",0.00163333333333333,0.360583333333333,0.0196333333333333,0.00055,0.6176
"25","X13P16NHN1","X10P10NHN1",0.00131666666666667,0.324366666666667,0.0945833333333333,0.00396666666666667,0.575766666666667
"26","X13P19NNN1","X10P10NHN1",0.00206666666666667,0.339233333333333,0.02815,0.00406666666666667,0.626483333333333
"27","X13P1NHN1","X10P10NHN1",0.00151666666666667,0.3285,0.0712833333333333,0.000616666666666667,0.598083333333333
"28","X13P20NHN1","X10P10NHN1",0.00285,0.30345,0.0347,0.00661666666666667,0.652383333333333
"29","X13P23NNN1","X10P10NHN1",0.00191666666666667,0.261183333333333,0.02405,4e-04,0.71245
"30","X13P3NNN1","X10P10NHN1",0.00228333333333333,0.3317,0.00466666666666667,0.0027,0.65865
"31","X13P6NNN1","X10P10NHN1",0.00183333333333333,0.332583333333333,0.03735,0.000333333333333333,0.6279
"32","X14P10NHN1","X10P10NHN1",0.00141666666666667,0.352566666666667,0.00968333333333333,0.00181666666666667,0.634516666666667
"33","X14P16NHN1","X10P10NHN1",0.00348333333333333,0.37465,0.0961,0.0329833333333333,0.492783333333333
"34","X14P19NNN1","X10P10NHN1",0.00193333333333333,0.307666666666667,0.029,0.0036,0.6578
"35","X14P1NHN1","X10P10NHN1",0.00421666666666667,0.312583333333333,0.0316166666666667,0.000716666666666667,0.650866666666667
"36","X14P20NHN1","X10P10NHN1",0.00203333333333333,0.314416666666667,0.0744166666666667,0.00646666666666667,0.602666666666667
"37","X14P23NNN1","X10P10NHN1",0.00233333333333333,0.342733333333333,0.0109166666666667,0.01575,0.628266666666667
"38","X14P3NNN1","X10P10NHN1",0.0023,0.35515,0.0186166666666667,0.00728333333333333,0.61665
"39","X14P6NNN1","X10P10NHN1",0.00228333333333333,0.310833333333333,0.0117333333333333,0.00713333333333333,0.668016666666667
"40","X10P19NNN1","X10P16NHN1",0.0038,0.291933333333333,0.0115833333333333,0.00956666666666667,0.683116666666667
"41","X10P1NHN1","X10P16NHN1",0.00045,0.259816666666667,0.0651166666666667,0.0102,0.664416666666667
"42","X10P20NHN1","X10P16NHN1",0.00253333333333333,0.310883333333333,0.0193833333333333,0.0105333333333333,0.656666666666667
"43","X10P23NNN1","X10P16NHN1",0.00345,0.350116666666667,0.0127166666666667,0.00388333333333333,0.629833333333333
"44","X10P3NNN1","X10P16NHN1",0.00371666666666667,0.287383333333333,0.0395,0.00341666666666667,0.665983333333333
"45","X10P6NNN1","X10P16NHN1",0.00311666666666667,0.321916666666667,0.000183333333333333,0.00428333333333333,0.6705
"46","X11P10NHN1","X10P16NHN1",0.00163333333333333,0.35015,0.00186666666666667,0,0.64635
"47","X11P16NHN1","X10P16NHN1",0.00253333333333333,0.304016666666667,0.00808333333333333,0.0357,0.649666666666667
"48","X11P19NNN1","X10P16NHN1",0.00231666666666667,0.306333333333333,0.0271166666666667,8e-04,0.663433333333333
"49","X11P1NHN1","X10P16NHN1",0.00178333333333333,0.286766666666667,0.00385,0.0287666666666667,0.678833333333333
"50","X11P20NHN1","X10P16NHN1",0.00508333333333333,0.393166666666667,0.0100333333333333,0.0102166666666667,0.5815
"51","X11P23NNN1","X10P16NHN1",0.00211666666666667,0.2744,0.00336666666666667,0.00235,0.717766666666667
"52","X11P3NNN1","X10P16NHN1",0.000833333333333333,0.356233333333333,0,0.00706666666666667,0.635866666666667
"53","X11P6NNN1","X10P16NHN1",0.000983333333333333,0.2892,0.0177166666666667,0.00141666666666667,0.690683333333333
"54","X12P10NHN1","X10P16NHN1",0.00591666666666667,0.334916666666667,0.0094,0.00055,0.649216666666667
"55","X12P16NHN1","X10P16NHN1",0.00455,0.38005,0.0162,0,0.5992
"56","X12P19NNN1","X10P16NHN1",0.00103333333333333,0.38135,0.00691666666666667,0.04195,0.56875
"57","X12P1NHN1","X10P16NHN1",0.00345,0.39285,0.0268,0.00085,0.57605
"58","X12P20NHN1","X10P16NHN1",0.0128166666666667,0.361333333333333,0.00513333333333333,0.000533333333333333,0.620183333333333
"59","X12P23NNN1","X10P16NHN1",0.0013,0.325483333333333,0.0176,0.000366666666666667,0.65525
"60","X12P3NNN1","X10P16NHN1",0.00253333333333333,0.346166666666667,0.00453333333333333,0.00443333333333333,0.642333333333333
"61","X12P6NNN1","X10P16NHN1",0.0148333333333333,0.32,0.04555,0.000233333333333333,0.619383333333333
"62","X13P10NHN1","X10P16NHN1",0.00256666666666667,0.3419,0.00716666666666667,0.00418333333333333,0.644183333333333
"63","X13P16NHN1","X10P16NHN1",0.0029,0.35245,0.0242833333333333,0.00103333333333333,0.619333333333333
"64","X13P19NNN1","X10P16NHN1",0.00101666666666667,0.343216666666667,0.00918333333333333,0.00636666666666667,0.640216666666667
"65","X13P1NHN1","X10P16NHN1",0.00143333333333333,0.304916666666667,0.0651666666666667,0.00186666666666667,0.626616666666667
"66","X13P20NHN1","X10P16NHN1",0.00203333333333333,0.370633333333333,0.000816666666666667,0.00341666666666667,0.6231
"67","X13P23NNN1","X10P16NHN1",0.00231666666666667,0.294533333333333,0.0181,0.0229833333333333,0.662066666666667
"68","X13P3NNN1","X10P16NHN1",0.00203333333333333,0.322866666666667,0.00115,0.0209166666666667,0.653033333333333
"69","X13P6NNN1","X10P16NHN1",0.00173333333333333,0.37055,0.0196666666666667,0.0107333333333333,0.597316666666667
"70","X14P10NHN1","X10P16NHN1",0.0028,0.40985,0.00356666666666667,0.00243333333333333,0.58135
"71","X14P16NHN1","X10P16NHN1",0.00363333333333333,0.334316666666667,0.06685,0.0347666666666667,0.560433333333333
"72","X14P19NNN1","X10P16NHN1",0.00448333333333333,0.286033333333333,0.00186666666666667,0.00153333333333333,0.706083333333333
"73","X14P1NHN1","X10P16NHN1",0.00758333333333333,0.295266666666667,0.0197333333333333,0.00055,0.676866666666667
"74","X14P20NHN1","X10P16NHN1",0.00881666666666667,0.301183333333333,0.0123833333333333,0.00111666666666667,0.6765
"75","X14P23NNN1","X10P16NHN1",0.00588333333333333,0.354183333333333,0.0056,0.00218333333333333,0.63215
"76","X14P3NNN1","X10P16NHN1",0.00258333333333333,0.33075,0.01125,0.00716666666666667,0.64825
"77","X14P6NNN1","X10P16NHN1",0.00295,0.313316666666667,0.0047,0.00225,0.676783333333333
"78","X10P1NHN1","X10P19NNN1",0.003,0.298,0.0460666666666667,0.0093,0.643633333333333
