Situ,Group,HoSexp,HeSexp,HDexp,DLexp,DRexp,Selexp,STexp
S11,LALB,0.5,0,0,0.5,0,0.5,0.5
S11,LAHA,0,0.5,0.5,0,0,0.5,0.5
S11,LAHB,0,0.5,0,0.5,0,0.5,0.5
S11,LBHA,0,0.5,0,0.5,0,0.5,0.5
S11,LBHB,0,0.5,0.5,0,0,0.5,0.5
S11,HAHB,0.5,0,0,0.5,0,0.5,0.5
S12,LALA,0.75,0,0.25,0,0,0.75,0.25
S12,LBLB,0.75,0,0.25,0,0,0.75,0.25
S12,HAHA,0.75,0,0.25,0,0,0.75,0.25
S12,HBHB,0.75,0,0.25,0,0,0.75,0.25
S12,LALB,0.75,0,0,0.25,0,0.75,0.25
S12,LAHA,0,0.75,0.25,0,0,0.75,0.25
S12,LAHB,0,0.75,0,0.25,0,0.75,0.25
S12,LBHA,0,0.75,0,0.25,0,0.75,0.25
S12,LBHB,0,0.75,0.25,0,0,0.75,0.25
S12,HAHB,0.75,0,0,0.25,0,0.75,0.25
S13,LALA,0.25,0,0.25,0,0.5,0.25,0.75
S13,LBLB,0.25,0,0.25,0,0.5,0.25,0.75
S13,HAHA,0.25,0,0.25,0,0.5,0.25,0.75
S13,HBHB,0.25,0,0.25,0,0.5,0.25,0.75
S13,LALB,0.25,0,0,0.25,0.5,0.25,0.75
S13,LAHA,0,0.25,0.25,0,0.5,0.25,0.75
S13,LAHB,0,0.25,0,0.25,0.5,0.25,0.75
S13,LBHA,0,0.25,0,0.25,0.5,0.25,0.75
S13,LBHB,0,0.25,0.25,0,0.5,0.25,0.75
S13,HAHB,0.25,0,0,0.25,0.5,0.25,0.75
S14,LALA,0.25,0,0.5,0,0.25,0.25,0.75
S14,LBLB,0.25,0,0.5,0,0.25,0.25,0.75
S14,HAHA,0.25,0,0.5,0,0.25,0.25,0.75
S14,HBHB,0.25,0,0.5,0,0.25,0.25,0.75
S14,LALB,0.25,0,0,0.5,0.25,0.25,0.75
S14,LAHA,0,0.25,0.5,0,0.25,0.25,0.75
S14,LAHB,0,0.25,0,0.5,0.25,0.25,0.75
S14,LBHA,0,0.25,0,0.5,0.25,0.25,0.75
S14,LBHB,0,0.25,0.5,0,0.25,0.25,0.75
S14,HAHB,0.25,0,0,0.5,0.25,0.25,0.75
S15,LALA,0.5,0,0.25,0,0.25,0.5,0.5
S15,LBLB,0.5,0,0.25,0,0.25,0.5,0.5
S15,HAHA,0.5,0,0.25,0,0.25,0.5,0.5
S15,HBHB,0.5,0,0.25,0,0.25,0.5,0.5
S15,LALB,0.5,0,0,0.25,0.25,0.5,0.5
S15,LAHA,0,0.5,0.25,0,0.25,0.5,0.5
S15,LAHB,0,0.5,0,0.25,0.25,0.5,0.5
S15,LBHA,0,0.5,0,0.25,0.25,0.5,0.5
S15,LBHB,0,0.5,0.25,0,0.25,0.5,0.5
S15,HAHB,0.5,0,0,0.25,0.25,0.5,0.5
